mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,power_to_weight
13.0,8,350.0,155.0,4502.0,13.5,72,USA,buick lesabre custom,0.03442914260328743
12.0,8,350.0,160.0,4456.0,13.5,72,USA,oldsmobile delta 88 royale,0.03590664272890485
13.0,8,400.0,190.0,4422.0,12.5,72,USA,chrysler newport royal,0.04296698326549073
19.0,3,70.0,97.0,2330.0,13.5,72,Japan,mazda rx2 coupe,0.041630901287553645
15.0,8,304.0,150.0,3892.0,12.5,72,USA,amc matador (sw),0.03854059609455293
13.0,8,307.0,130.0,4098.0,14.0,72,USA,chevrolet chevelle concours (sw),0.0317227916056613
13.0,8,302.0,140.0,4294.0,16.0,72,USA,ford gran torino (sw),0.032603632976245925
14.0,8,318.0,150.0,4077.0,14.0,72,USA,plymouth satellite custom (sw),0.03679175864606328
18.0,4,121.0,112.0,2933.0,14.5,72,Europe,volvo 145e (sw),0.03818615751789976
22.0,4,121.0,76.0,2511.0,18.0,72,Europe,volkswagen 411 (sw),0.030266825965750695
21.0,4,120.0,87.0,2979.0,19.5,72,Europe,peugeot 504 (sw),0.02920443101711984
26.0,4,96.0,69.0,2189.0,18.0,72,Europe,renault 12 (sw),0.031521242576518956
22.0,4,122.0,86.0,2395.0,16.0,72,USA,ford pinto (sw),0.03590814196242171
28.0,4,97.0,92.0,2288.0,17.0,72,Japan,datsun 510 (sw),0.04020979020979021
23.0,4,120.0,97.0,2506.0,14.5,72,Japan,toyouta corona mark ii (sw),0.038707102952913006
28.0,4,98.0,80.0,2164.0,15.0,72,USA,dodge colt (sw),0.036968576709796676
27.0,4,97.0,88.0,2100.0,16.5,72,Japan,toyota corolla 1600 (sw),0.0419047619047619
13.0,8,350.0,175.0,4100.0,13.0,73,USA,buick century 350,0.042682926829268296
14.0,8,304.0,150.0,3672.0,11.5,73,USA,amc matador,0.04084967320261438
13.0,8,350.0,145.0,3988.0,13.0,73,USA,chevrolet malibu,0.03635907723169508
14.0,8,302.0,137.0,4042.0,14.5,73,USA,ford gran torino,0.0338941118258288
15.0,8,318.0,150.0,3777.0,12.5,73,USA,dodge coronet custom,0.03971405877680699
12.0,8,429.0,198.0,4952.0,11.5,73,USA,mercury marquis brougham,0.03998384491114701
13.0,8,400.0,150.0,4464.0,12.0,73,USA,chevrolet caprice classic,0.033602150537634407
13.0,8,351.0,158.0,4363.0,13.0,73,USA,ford ltd,0.03621361448544579
14.0,8,318.0,150.0,4237.0,14.5,73,USA,plymouth fury gran sedan,0.03540240736370073
13.0,8,440.0,215.0,4735.0,11.0,73,USA,chrysler new yorker brougham,0.0454065469904963
12.0,8,455.0,225.0,4951.0,11.0,73,USA,buick electra 225 custom,0.045445364572813576
13.0,8,360.0,175.0,3821.0,11.0,73,USA,amc ambassador brougham,0.04579952891913112
18.0,6,225.0,105.0,3121.0,16.5,73,USA,plymouth valiant,0.03364306312079462
16.0,6,250.0,100.0,3278.0,18.0,73,USA,chevrolet nova custom,0.03050640634533252
18.0,6,232.0,100.0,2945.0,16.0,73,USA,amc hornet,0.03395585738539898
18.0,6,250.0,88.0,3021.0,16.5,73,USA,ford maverick,0.029129427341939754
23.0,6,198.0,95.0,2904.0,16.0,73,USA,plymouth duster,0.03271349862258953
26.0,4,97.0,46.0,1950.0,21.0,73,Europe,volkswagen super beetle,0.02358974358974359
11.0,8,400.0,150.0,4997.0,14.0,73,USA,chevrolet impala,0.03001801080648389
12.0,8,400.0,167.0,4906.0,12.5,73,USA,ford country,0.03403995108030983
13.0,8,360.0,170.0,4654.0,13.0,73,USA,plymouth custom suburb,0.0365277180919639
12.0,8,350.0,180.0,4499.0,12.5,73,USA,oldsmobile vista cruiser,0.04000889086463658
18.0,6,232.0,100.0,2789.0,15.0,73,USA,amc gremlin,0.035855145213338116
20.0,4,97.0,88.0,2279.0,19.0,73,Japan,toyota carina,0.03861342694164107
21.0,4,140.0,72.0,2401.0,19.5,73,USA,chevrolet vega,0.029987505206164097
22.0,4,108.0,94.0,2379.0,16.5,73,Japan,datsun 610,0.039512400168137875
18.0,3,70.0,90.0,2124.0,13.5,73,Japan,maxda rx3,0.0423728813559322
19.0,4,122.0,85.0,2310.0,18.5,73,USA,ford pinto,0.0367965367965368
21.0,6,155.0,107.0,2472.0,14.0,73,USA,mercury capri v6,0.043284789644012944
26.0,4,98.0,90.0,2265.0,15.5,73,Europe,fiat 124 sport coupe,0.039735099337748346
15.0,8,350.0,145.0,4082.0,13.0,73,USA,chevrolet monte carlo s,0.035521803037726604
16.0,8,400.0,230.0,4278.0,9.5,73,USA,pontiac grand prix,0.053763440860215055
29.0,4,68.0,49.0,1867.0,19.5,73,Europe,fiat 128,0.026245313336904125
24.0,4,116.0,75.0,2158.0,15.5,73,Europe,opel manta,0.03475440222428174
20.0,4,114.0,91.0,2582.0,14.0,73,Europe,audi 100ls,0.03524399690162665
19.0,4,121.0,112.0,2868.0,15.5,73,Europe,volvo 144ea,0.03905160390516039
15.0,8,318.0,150.0,3399.0,11.0,73,USA,dodge dart custom,0.0441306266548985
24.0,4,121.0,110.0,2660.0,14.0,73,Europe,saab 99le,0.041353383458646614
20.0,6,156.0,122.0,2807.0,13.5,73,Japan,toyota mark ii,0.04346277164232276
11.0,8,350.0,180.0,3664.0,11.0,73,USA,oldsmobile omega,0.04912663755458515
20.0,6,198.0,95.0,3102.0,16.5,74,USA,plymouth duster,0.030625402965828497
19.0,6,232.0,100.0,2901.0,16.0,74,USA,amc hornet,0.03447087211306446
15.0,6,250.0,100.0,3336.0,17.0,74,USA,chevrolet nova,0.02997601918465228
31.0,4,79.0,67.0,1950.0,19.0,74,Japan,datsun b210,0.03435897435897436
26.0,4,122.0,80.0,2451.0,16.5,74,USA,ford pinto,0.032639738882088945
32.0,4,71.0,65.0,1836.0,21.0,74,Japan,toyota corolla 1200,0.03540305010893246
25.0,4,140.0,75.0,2542.0,17.0,74,USA,chevrolet vega,0.029504327301337528
16.0,6,250.0,100.0,3781.0,17.0,74,USA,chevrolet chevelle malibu classic,0.026448029621793177
16.0,6,258.0,110.0,3632.0,18.0,74,USA,amc matador,0.0302863436123348
18.0,6,225.0,105.0,3613.0,16.5,74,USA,plymouth satellite sebring,0.029061721561029614
16.0,8,302.0,140.0,4141.0,14.0,74,USA,ford gran torino,0.03380825887466796
13.0,8,350.0,150.0,4699.0,14.5,74,USA,buick century luxus (sw),0.03192168546499255
14.0,8,318.0,150.0,4457.0,13.5,74,USA,dodge coronet custom (sw),0.03365492483733453
14.0,8,302.0,140.0,4638.0,16.0,74,USA,ford gran torino (sw),0.030185424752048298
14.0,8,304.0,150.0,4257.0,15.5,74,USA,amc matador (sw),0.035236081747709654
29.0,4,98.0,83.0,2219.0,16.5,74,Europe,audi fox,0.03740423614240649
26.0,4,79.0,67.0,1963.0,15.5,74,Europe,volkswagen dasher,0.03413143148242486
26.0,4,97.0,78.0,2300.0,14.5,74,Europe,opel manta,0.03391304347826087
31.0,4,76.0,52.0,1649.0,16.5,74,Japan,toyota corona,0.031534263189812006
32.0,4,83.0,61.0,2003.0,19.0,74,Japan,datsun 710,0.030454318522216674
28.0,4,90.0,75.0,2125.0,14.5,74,USA,dodge colt,0.03529411764705882
24.0,4,90.0,75.0,2108.0,15.5,74,Europe,fiat 128,0.03557874762808349
26.0,4,116.0,75.0,2246.0,14.0,74,Europe,fiat 124 tc,0.033392698130008905
24.0,4,120.0,97.0,2489.0,15.0,74,Japan,honda civic,0.038971474487746086
26.0,4,108.0,93.0,2391.0,15.5,74,Japan,subaru,0.03889585947302384
31.0,4,79.0,67.0,2000.0,16.0,74,Europe,fiat x1.9,0.0335
19.0,6,225.0,95.0,3264.0,16.0,75,USA,plymouth valiant custom,0.029105392156862746
18.0,6,250.0,105.0,3459.0,16.0,75,USA,chevrolet nova,0.030355594102341718
15.0,6,250.0,72.0,3432.0,21.0,75,USA,mercury monarch,0.02097902097902098
15.0,6,250.0,72.0,3158.0,19.5,75,USA,ford maverick,0.022799240025332488
16.0,8,400.0,170.0,4668.0,11.5,75,USA,pontiac catalina,0.03641816623821765
15.0,8,350.0,145.0,4440.0,14.0,75,USA,chevrolet bel air,0.03265765765765766
16.0,8,318.0,150.0,4498.0,14.5,75,USA,plymouth grand fury,0.03334815473543797
14.0,8,351.0,148.0,4657.0,13.5,75,USA,ford ltd,0.031780115954477134
17.0,6,231.0,110.0,3907.0,21.0,75,USA,buick century,0.028154594317890965
16.0,6,250.0,105.0,3897.0,18.5,75,USA,chevroelt chevelle malibu,0.026943802925327175
15.0,6,258.0,110.0,3730.0,19.0,75,USA,amc matador,0.029490616621983913
18.0,6,225.0,95.0,3785.0,19.0,75,USA,plymouth fury,0.02509907529722589
21.0,6,231.0,110.0,3039.0,15.0,75,USA,buick skyhawk,0.0361961171437973
20.0,8,262.0,110.0,3221.0,13.5,75,USA,chevrolet monza 2+2,0.034150884818379384
13.0,8,302.0,129.0,3169.0,12.0,75,USA,ford mustang ii,0.04070684758598927
29.0,4,97.0,75.0,2171.0,16.0,75,Japan,toyota corolla,0.03454629203132197
23.0,4,140.0,83.0,2639.0,17.0,75,USA,ford pinto,0.03145130731337628
20.0,6,232.0,100.0,2914.0,16.0,75,USA,amc gremlin,0.03431708991077557
23.0,4,140.0,78.0,2592.0,18.5,75,USA,pontiac astro,0.03009259259259259
24.0,4,134.0,96.0,2702.0,13.5,75,Japan,toyota corona,0.03552923760177646
25.0,4,90.0,71.0,2223.0,16.5,75,Europe,volkswagen dasher,0.031938821412505626
24.0,4,119.0,97.0,2545.0,17.0,75,Japan,datsun 710,0.0381139489194499
18.0,6,171.0,97.0,2984.0,14.5,75,USA,ford pinto,0.032506702412868634
29.0,4,90.0,70.0,1937.0,14.0,75,Europe,volkswagen rabbit,0.036138358286009295
19.0,6,232.0,90.0,3211.0,17.0,75,USA,amc pacer,0.02802865151043289
23.0,4,115.0,95.0,2694.0,15.0,75,Europe,audi 100ls,0.03526354862657758
23.0,4,120.0,88.0,2957.0,17.0,75,Europe,peugeot 504,0.029759891782211702
22.0,4,121.0,98.0,2945.0,14.5,75,Europe,volvo 244dl,0.033276740237691005
25.0,4,121.0,115.0,2671.0,13.5,75,Europe,saab 99le,0.0430550355672033
33.0,4,91.0,53.0,1795.0,17.5,75,Japan,honda civic cvcc,0.029526462395543174
28.0,4,107.0,86.0,2464.0,15.5,76,Europe,fiat 131,0.0349025974025974
25.0,4,116.0,81.0,2220.0,16.9,76,Europe,opel 1900,0.03648648648648649
25.0,4,140.0,92.0,2572.0,14.9,76,USA,capri ii,0.03576982892690513
26.0,4,98.0,79.0,2255.0,17.7,76,USA,dodge colt,0.03503325942350333
27.0,4,101.0,83.0,2202.0,15.3,76,Europe,renault 12tl,0.037693006357856496
17.5,8,305.0,140.0,4215.0,13.0,76,USA,chevrolet chevelle malibu classic,0.033214709371293
16.0,8,318.0,150.0,4190.0,13.0,76,USA,dodge coronet brougham,0.03579952267303103
15.5,8,304.0,120.0,3962.0,13.9,76,USA,amc matador,0.03028773346794548
14.5,8,351.0,152.0,4215.0,12.8,76,USA,ford gran torino,0.03606168446026097
22.0,6,225.0,100.0,3233.0,15.4,76,USA,plymouth valiant,0.03093102381688834
22.0,6,250.0,105.0,3353.0,14.5,76,USA,chevrolet nova,0.031315240083507306
24.0,6,200.0,81.0,3012.0,17.6,76,USA,ford maverick,0.026892430278884463
22.5,6,232.0,90.0,3085.0,17.6,76,USA,amc hornet,0.029173419773095625
29.0,4,85.0,52.0,2035.0,22.2,76,USA,chevrolet chevette,0.025552825552825554
24.5,4,98.0,60.0,2164.0,22.1,76,USA,chevrolet woody,0.027726432532347505
29.0,4,90.0,70.0,1937.0,14.2,76,Europe,vw rabbit,0.036138358286009295
33.0,4,91.0,53.0,1795.0,17.4,76,Japan,honda civic,0.029526462395543174
20.0,6,225.0,100.0,3651.0,17.7,76,USA,dodge aspen se,0.027389756231169543
18.0,6,250.0,78.0,3574.0,21.0,76,USA,ford granada ghia,0.02182428651371013
18.5,6,250.0,110.0,3645.0,16.2,76,USA,pontiac ventura sj,0.03017832647462277
17.5,6,258.0,95.0,3193.0,17.8,76,USA,amc pacer d/l,0.029752583777012214
29.5,4,97.0,71.0,1825.0,12.2,76,Europe,volkswagen rabbit,0.03890410958904109
32.0,4,85.0,70.0,1990.0,17.0,76,Japan,datsun b-210,0.035175879396984924
28.0,4,97.0,75.0,2155.0,16.4,76,Japan,toyota corolla,0.03480278422273782
26.5,4,140.0,72.0,2565.0,13.6,76,USA,ford pinto,0.028070175438596492
20.0,4,130.0,102.0,3150.0,15.7,76,Europe,volvo 245,0.03238095238095238
13.0,8,318.0,150.0,3940.0,13.2,76,USA,plymouth volare premier v8,0.03807106598984772
19.0,4,120.0,88.0,3270.0,21.9,76,Europe,peugeot 504,0.02691131498470948
19.0,6,156.0,108.0,2930.0,15.5,76,Japan,toyota mark ii,0.03686006825938567
16.5,6,168.0,120.0,3820.0,16.7,76,Europe,mercedes-benz 280s,0.031413612565445025
16.5,8,350.0,180.0,4380.0,12.1,76,USA,cadillac seville,0.0410958904109589
13.0,8,350.0,145.0,4055.0,12.0,76,USA,chevy c10,0.035758323057953144
13.0,8,302.0,130.0,3870.0,15.0,76,USA,ford f108,0.03359173126614987
13.0,8,318.0,150.0,3755.0,14.0,76,USA,dodge d100,0.03994673768308921
31.5,4,98.0,68.0,2045.0,18.5,77,Japan,honda accord cvcc,0.033251833740831294
30.0,4,111.0,80.0,2155.0,14.8,77,USA,buick opel isuzu deluxe,0.037122969837587005
36.0,4,79.0,58.0,1825.0,18.6,77,Europe,renault 5 gtl,0.03178082191780822
25.5,4,122.0,96.0,2300.0,15.5,77,USA,plymouth arrow gs,0.04173913043478261
33.5,4,85.0,70.0,1945.0,16.8,77,Japan,datsun f-10 hatchback,0.03598971722365039
17.5,8,305.0,145.0,3880.0,12.5,77,USA,chevrolet caprice classic,0.037371134020618556
17.0,8,260.0,110.0,4060.0,19.0,77,USA,oldsmobile cutlass supreme,0.027093596059113302
15.5,8,318.0,145.0,4140.0,13.7,77,USA,dodge monaco brougham,0.035024154589371984
15.0,8,302.0,130.0,4295.0,14.9,77,USA,mercury cougar brougham,0.030267753201396973
17.5,6,250.0,110.0,3520.0,16.4,77,USA,chevrolet concours,0.03125
20.5,6,231.0,105.0,3425.0,16.9,77,USA,buick skylark,0.030656934306569343
19.0,6,225.0,100.0,3630.0,17.7,77,USA,plymouth volare custom,0.027548209366391185
18.5,6,250.0,98.0,3525.0,19.0,77,USA,ford granada,0.027801418439716313
16.0,8,400.0,180.0,4220.0,11.1,77,USA,pontiac grand prix lj,0.04265402843601896
15.5,8,350.0,170.0,4165.0,11.4,77,USA,chevrolet monte carlo landau,0.04081632653061224
15.5,8,400.0,190.0,4325.0,12.2,77,USA,chrysler cordoba,0.04393063583815029
16.0,8,351.0,149.0,4335.0,14.5,77,USA,ford thunderbird,0.03437139561707036
29.0,4,97.0,78.0,1940.0,14.5,77,Europe,volkswagen rabbit custom,0.04020618556701031
24.5,4,151.0,88.0,2740.0,16.0,77,USA,pontiac sunbird coupe,0.032116788321167884
26.0,4,97.0,75.0,2265.0,18.2,77,Japan,toyota corolla liftback,0.033112582781456956
25.5,4,140.0,89.0,2755.0,15.8,77,USA,ford mustang ii 2+2,0.032304900181488204
30.5,4,98.0,63.0,2051.0,17.0,77,USA,chevrolet chevette,0.030716723549488054
33.5,4,98.0,83.0,2075.0,15.9,77,USA,dodge colt m/m,0.04
30.0,4,97.0,67.0,1985.0,16.4,77,Japan,subaru dl,0.033753148614609575
30.5,4,97.0,78.0,2190.0,14.1,77,Europe,volkswagen dasher,0.03561643835616438
22.0,6,146.0,97.0,2815.0,14.5,77,Japan,datsun 810,0.034458259325044406
21.5,4,121.0,110.0,2600.0,12.8,77,Europe,bmw 320i,0.04230769230769231
21.5,3,80.0,110.0,2720.0,13.5,77,Japan,mazda rx-4,0.04044117647058824
43.1,4,90.0,48.0,1985.0,21.5,78,Europe,volkswagen rabbit custom diesel,0.024181360201511334
36.1,4,98.0,66.0,1800.0,14.4,78,USA,ford fiesta,0.03666666666666667
32.8,4,78.0,52.0,1985.0,19.4,78,Japan,mazda glc deluxe,0.02619647355163728
39.4,4,85.0,70.0,2070.0,18.6,78,Japan,datsun b210 gx,0.033816425120772944
36.1,4,91.0,60.0,1800.0,16.4,78,Japan,honda civic cvcc,0.03333333333333333
19.9,8,260.0,110.0,3365.0,15.5,78,USA,oldsmobile cutlass salon brougham,0.03268945022288262
19.4,8,318.0,140.0,3735.0,13.2,78,USA,dodge diplomat,0.03748326639892905
20.2,8,302.0,139.0,3570.0,12.8,78,USA,mercury monarch ghia,0.03893557422969188
19.2,6,231.0,105.0,3535.0,19.2,78,USA,pontiac phoenix lj,0.0297029702970297
20.5,6,200.0,95.0,3155.0,18.2,78,USA,chevrolet malibu,0.030110935023771792
20.2,6,200.0,85.0,2965.0,15.8,78,USA,ford fairmont (auto),0.02866779089376054
25.1,4,140.0,88.0,2720.0,15.4,78,USA,ford fairmont (man),0.03235294117647059
20.5,6,225.0,100.0,3430.0,17.2,78,USA,plymouth volare,0.029154518950437316
19.4,6,232.0,90.0,3210.0,17.2,78,USA,amc concord,0.028037383177570093
20.6,6,231.0,105.0,3380.0,15.8,78,USA,buick century special,0.03106508875739645
20.8,6,200.0,85.0,3070.0,16.7,78,USA,mercury zephyr,0.02768729641693811
18.6,6,225.0,110.0,3620.0,18.7,78,USA,dodge aspen,0.03038674033149171
18.1,6,258.0,120.0,3410.0,15.1,78,USA,amc concord d/l,0.03519061583577713
19.2,8,305.0,145.0,3425.0,13.2,78,USA,chevrolet monte carlo landau,0.042335766423357665
17.7,6,231.0,165.0,3445.0,13.4,78,USA,buick regal sport coupe (turbo),0.047895500725689405
18.1,8,302.0,139.0,3205.0,11.2,78,USA,ford futura,0.04336973478939157
17.5,8,318.0,140.0,4080.0,13.7,78,USA,dodge magnum xe,0.03431372549019608
30.0,4,98.0,68.0,2155.0,16.5,78,USA,chevrolet chevette,0.03155452436194896
27.5,4,134.0,95.0,2560.0,14.2,78,Japan,toyota corona,0.037109375
27.2,4,119.0,97.0,2300.0,14.7,78,Japan,datsun 510,0.04217391304347826
30.9,4,105.0,75.0,2230.0,14.5,78,USA,dodge omni,0.033632286995515695
21.1,4,134.0,95.0,2515.0,14.8,78,Japan,toyota celica gt liftback,0.03777335984095427
23.2,4,156.0,105.0,2745.0,16.7,78,USA,plymouth sapporo,0.03825136612021858
23.8,4,151.0,85.0,2855.0,17.6,78,USA,oldsmobile starfire sx,0.0297723292469352
23.9,4,119.0,97.0,2405.0,14.9,78,Japan,datsun 200-sx,0.040332640332640335
20.3,5,131.0,103.0,2830.0,15.9,78,Europe,audi 5000,0.036395759717314485
17.0,6,163.0,125.0,3140.0,13.6,78,Europe,volvo 264gl,0.03980891719745223
21.6,4,121.0,115.0,2795.0,15.7,78,Europe,saab 99gle,0.04114490161001789
16.2,6,163.0,133.0,3410.0,15.8,78,Europe,peugeot 604sl,0.03900293255131965
31.5,4,89.0,71.0,1990.0,14.9,78,Europe,volkswagen scirocco,0.035678391959798994
29.5,4,98.0,68.0,2135.0,16.6,78,Japan,honda accord lx,0.03185011709601874
21.5,6,231.0,115.0,3245.0,15.4,79,USA,pontiac lemans v6,0.03543913713405239
19.8,6,200.0,85.0,2990.0,18.2,79,USA,mercury zephyr 6,0.028428093645484948
22.3,4,140.0,88.0,2890.0,17.3,79,USA,ford fairmont 4,0.03044982698961938
20.2,6,232.0,90.0,3265.0,18.2,79,USA,amc concord dl 6,0.027565084226646247
20.6,6,225.0,110.0,3360.0,16.6,79,USA,dodge aspen 6,0.03273809523809524
17.0,8,305.0,130.0,3840.0,15.4,79,USA,chevrolet caprice classic,0.033854166666666664
17.6,8,302.0,129.0,3725.0,13.4,79,USA,ford ltd landau,0.03463087248322148
16.5,8,351.0,138.0,3955.0,13.2,79,USA,mercury grand marquis,0.03489254108723135
18.2,8,318.0,135.0,3830.0,15.2,79,USA,dodge st. regis,0.03524804177545692
16.9,8,350.0,155.0,4360.0,14.9,79,USA,buick estate wagon (sw),0.03555045871559633
15.5,8,351.0,142.0,4054.0,14.3,79,USA,ford country squire (sw),0.03502713369511593
19.2,8,267.0,125.0,3605.0,15.0,79,USA,chevrolet malibu classic (sw),0.03467406380027739
18.5,8,360.0,150.0,3940.0,13.0,79,USA,chrysler lebaron town @ country (sw),0.03807106598984772
31.9,4,89.0,71.0,1925.0,14.0,79,Europe,vw rabbit custom,0.036883116883116886
34.1,4,86.0,65.0,1975.0,15.2,79,Japan,maxda glc deluxe,0.03291139240506329
35.7,4,98.0,80.0,1915.0,14.4,79,USA,dodge colt hatchback custom,0.04177545691906005
27.4,4,121.0,80.0,2670.0,15.0,79,USA,amc spirit dl,0.0299625468164794
25.4,5,183.0,77.0,3530.0,20.1,79,Europe,mercedes benz 300d,0.02181303116147309
23.0,8,350.0,125.0,3900.0,17.4,79,USA,cadillac eldorado,0.03205128205128205
27.2,4,141.0,71.0,3190.0,24.8,79,Europe,peugeot 504,0.02225705329153605
23.9,8,260.0,90.0,3420.0,22.2,79,USA,oldsmobile cutlass salon brougham,0.02631578947368421
34.2,4,105.0,70.0,2200.0,13.2,79,USA,plymouth horizon,0.031818181818181815
34.5,4,105.0,70.0,2150.0,14.9,79,USA,plymouth horizon tc3,0.03255813953488372
31.8,4,85.0,65.0,2020.0,19.2,79,Japan,datsun 210,0.03217821782178218
37.3,4,91.0,69.0,2130.0,14.7,79,Europe,fiat strada custom,0.0323943661971831
